"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"8600000US01001","ZCTA5 01001","17312","735"
"8600000US01002","ZCTA5 01002","30014","485"
"8600000US01003","ZCTA5 01003","11357","477"
"8600000US01005","ZCTA5 01005","5128","404"
"8600000US01007","ZCTA5 01007","15005","20"
"8600000US01008","ZCTA5 01008","1140","178"
"8600000US01009","ZCTA5 01009","261","198"
"8600000US01010","ZCTA5 01010","3658","17"
"8600000US01011","ZCTA5 01011","1430","170"
"8600000US01012","ZCTA5 01012","585","124"
"8600000US01013","ZCTA5 01013","22733","1045"
"8600000US01020","ZCTA5 01020","30108","1098"
"8600000US01022","ZCTA5 01022","2586","413"
"8600000US01026","ZCTA5 01026","933","116"
"8600000US01027","ZCTA5 01027","17818","99"
"8600000US01028","ZCTA5 01028","16242","38"
"8600000US01029","ZCTA5 01029","538","164"
"8600000US01030","ZCTA5 01030","11384","733"
"8600000US01031","ZCTA5 01031","1135","198"
"8600000US01032","ZCTA5 01032","495","114"
"8600000US01033","ZCTA5 01033","6322","16"
"8600000US01034","ZCTA5 01034","2186","205"
"8600000US01035","ZCTA5 01035","5319","27"
"8600000US01036","ZCTA5 01036","5178","39"
"8600000US01037","ZCTA5 01037","747","197"
"8600000US01038","ZCTA5 01038","2734","160"
"8600000US01039","ZCTA5 01039","1207","167"
"8600000US01040","ZCTA5 01040","40241","59"
"8600000US01050","ZCTA5 01050","2438","214"
"8600000US01053","ZCTA5 01053","1593","239"
"8600000US01054","ZCTA5 01054","2001","159"
"8600000US01056","ZCTA5 01056","21291","23"
"8600000US01057","ZCTA5 01057","8824","99"
"8600000US01060","ZCTA5 01060","15948","532"
"8600000US01062","ZCTA5 01062","10364","518"
"8600000US01063","ZCTA5 01063","611","176"
"8600000US01066","ZCTA5 01066","31","48"
"8600000US01068","ZCTA5 01068","1833","102"
"8600000US01069","ZCTA5 01069","8556","510"
"8600000US01070","ZCTA5 01070","648","94"
"8600000US01071","ZCTA5 01071","1318","198"
"8600000US01072","ZCTA5 01072","1478","134"
"8600000US01073","ZCTA5 01073","6144","33"
"8600000US01074","ZCTA5 01074","411","405"
"8600000US01075","ZCTA5 01075","17703","38"
"8600000US01077","ZCTA5 01077","9720","25"
