"GEO_ID","id"
"NAME","Geographic Area Name"
"S0802_C01_001E","Estimate!!Total!!Workers 16 years and over"
"S0802_C01_001M","Margin of Error!!Total!!Workers 16 years and over"
"S0802_C01_002E","Estimate!!Total!!Workers 16 years and over!!AGE!!16 to 19 years"
"S0802_C01_002M","Margin of Error!!Total!!Workers 16 years and over!!AGE!!16 to 19 years"
"S0802_C01_003E","Estimate!!Total!!Workers 16 years and over!!AGE!!20 to 24 years"
"S0802_C01_003M","Margin of Error!!Total!!Workers 16 years and over!!AGE!!20 to 24 years"
"S0802_C01_004E","Estimate!!Total!!Workers 16 years and over!!AGE!!25 to 44 years"
"S0802_C01_004M","Margin of Error!!Total!!Workers 16 years and over!!AGE!!25 to 44 years"
"S0802_C01_005E","Estimate!!Total!!Workers 16 years and over!!AGE!!45 to 54 years"
"S0802_C01_005M","Margin of Error!!Total!!Workers 16 years and over!!AGE!!45 to 54 years"
"S0802_C01_006E","Estimate!!Total!!Workers 16 years and over!!AGE!!55 to 59 years"
"S0802_C01_006M","Margin of Error!!Total!!Workers 16 years and over!!AGE!!55 to 59 years"
"S0802_C01_007E","Estimate!!Total!!Workers 16 years and over!!AGE!!60 years and over"
"S0802_C01_007M","Margin of Error!!Total!!Workers 16 years and over!!AGE!!60 years and over"
"S0802_C01_008E","Estimate!!Total!!Workers 16 years and over!!AGE!!Median age (years)"
"S0802_C01_008M","Margin of Error!!Total!!Workers 16 years and over!!AGE!!Median age (years)"
"S0802_C01_009E","Estimate!!Total!!Workers 16 years and over!!SEX!!Male"
"S0802_C01_009M","Margin of Error!!Total!!Workers 16 years and over!!SEX!!Male"
"S0802_C01_010E","Estimate!!Total!!Workers 16 years and over!!SEX!!Female"
"S0802_C01_010M","Margin of Error!!Total!!Workers 16 years and over!!SEX!!Female"
"S0802_C01_011E","Estimate!!Total!!Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S0802_C01_011M","Margin of Error!!Total!!Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S0802_C01_012E","Estimate!!Total!!Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S0802_C01_012M","Margin of Error!!Total!!Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S0802_C01_013E","Estimate!!Total!!Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S0802_C01_013M","Margin of Error!!Total!!Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S0802_C01_014E","Estimate!!Total!!Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S0802_C01_014M","Margin of Error!!Total!!Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S0802_C01_015E","Estimate!!Total!!Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S0802_C01_015M","Margin of Error!!Total!!Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S0802_C01_016E","Estimate!!Total!!Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S0802_C01_016M","Margin of Error!!Total!!Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S0802_C01_017E","Estimate!!Total!!Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S0802_C01_017M","Margin of Error!!Total!!Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S0802_C01_018E","Estimate!!Total!!Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S0802_C01_018M","Margin of Error!!Total!!Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S0802_C01_019E","Estimate!!Total!!Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)"
"S0802_C01_019M","Margin of Error!!Total!!Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)"
"S0802_C01_020E","Estimate!!Total!!Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino"
"S0802_C01_020M","Margin of Error!!Total!!Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino"
"S0802_C01_021E","Estimate!!Total!!Workers 16 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Native"
"S0802_C01_021M","Margin of Error!!Total!!Workers 16 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Native"
"S0802_C01_022E","Estimate!!Total!!Workers 16 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born"
"S0802_C01_022M","Margin of Error!!Total!!Workers 16 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born"
"S0802_C01_023E","Estimate!!Total!!Workers 16 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Naturalized U.S. citizen"
"S0802_C01_023M","Margin of Error!!Total!!Workers 16 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Naturalized U.S. citizen"
"S0802_C01_024E","Estimate!!Total!!Workers 16 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Not a U.S. citizen"
"S0802_C01_024M","Margin of Error!!Total!!Workers 16 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Not a U.S. citizen"
"S0802_C01_025E","Estimate!!Total!!Workers 16 years and over!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Speak language other than English"
"S0802_C01_025M","Margin of Error!!Total!!Workers 16 years and over!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Speak language other than English"
"S0802_C01_026E","Estimate!!Total!!Workers 16 years and over!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Speak language other than English!!Speak English "very well""
"S0802_C01_026M","Margin of Error!!Total!!Workers 16 years and over!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Speak language other than English!!Speak English "very well""
"S0802_C01_027E","Estimate!!Total!!Workers 16 years and over!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Speak language other than English!!Speak English less than "very well""
"S0802_C01_027M","Margin of Error!!Total!!Workers 16 years and over!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Speak language other than English!!Speak English less than "very well""
"S0802_C01_028E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings"
"S0802_C01_028M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings"
"S0802_C01_029E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!$1 to $9,999 or loss"
"S0802_C01_029M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!$1 to $9,999 or loss"
"S0802_C01_030E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!$10,000 to $14,999"
"S0802_C01_030M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!$10,000 to $14,999"
"S0802_C01_031E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!$15,000 to $24,999"
