AREA_ID,AREA_NAME,DISTRICT_ID,DISTRICT_NAME,LOCALE_KEY,LOCALE_NAME,FACILITY_TYPE,ADDRESS,CITY,STATE,ZIP_CODE,PLUS4_CODE,FAC_FACILITY_SUBTYPE,LOC_TYPE,Status,Comments,EditDate,DISTRICTID,STFIPS,STATE_ABBR,CDFIPS,NAME,LAST_NAME,PARTY,x,y
4B,NORTHEAST (B),020,GREATER BOSTON,V27697,BOYLSTON,POST_OFF,67 SHREWSBURY ST,BOYLSTON,MA,01505,9998,MAIN_PO,P,OPEN,,"9/8/2017, 9:57 PM",2502,25,MA,02,James P. McGovern,McGovern,Democrat,-7985976.5573,5211251.9498
4B,NORTHEAST (B),020,GREATER BOSTON,V21844,GREENDALE,POST_OFF,290 W BOYLSTON ST,WORCESTER,MA,01606,2378,FIN_S,S,OPEN,,"9/8/2017, 9:57 PM",2502,25,MA,02,James P. McGovern,McGovern,Democrat,-7992720.737299999,5206060.432499997
4B,NORTHEAST (B),020,GREATER BOSTON,V21830,GRAFTON,POST_OFF,23 UPTON ST,GRAFTON,MA,01519,9998,MAIN_PO,P,OPEN,,"3/15/2018, 10:15 AM",2502,25,MA,02,James P. McGovern,McGovern,Democrat,-7979693.796499999,5191993.618100002
4B,NORTHEAST (B),020,GREATER BOSTON,V21975,LEOMINSTER,POST_OFF,68 MAIN ST,LEOMINSTER,MA,01453,9998,MAIN_PO,P,OPEN,,"9/8/2017, 9:57 PM",2502,25,MA,02,James P. McGovern,McGovern,Democrat,-7988159.532500001,5240422.162699997
4B,NORTHEAST (B),020,GREATER BOSTON,V27333,MIDTOWN MALL,POST_OFF,22 FRONT ST,WORCESTER,MA,01614,1401,FIN_S,S,OPEN,,"3/15/2018, 10:00 AM",2502,25,MA,02,James P. McGovern,McGovern,Democrat,-7992883.3751,5200502.471299998
4B,NORTHEAST (B),020,GREATER BOSTON,V21984,LINCOLN MALL,POST_OFF,560 LINCOLN ST STE 8,WORCESTER,MA,01605,1925,FIN_S,S,OPEN,,"9/8/2017, 9:57 PM",2502,25,MA,02,James P. McGovern,McGovern,Democrat,-7989624.7196,5205480.8464
4B,NORTHEAST (B),020,GREATER BOSTON,V22007,MAIN STREET,POST_OFF,484 MAIN ST,WORCESTER,MA,01608,1893,FIN_S,S,OPEN,,"9/8/2017, 9:57 PM",2502,25,MA,02,James P. McGovern,McGovern,Democrat,-7993091.5425,5200342.877999999
4B,NORTHEAST (B),020,GREATER BOSTON,V22257,NORTHBOROUGH,POST_OFF,235 W MAIN ST,NORTHBOROUGH,MA,01532,9998,MAIN_PO,P,OPEN,,"3/9/2018, 3:00 PM",2502,25,MA,02,James P. McGovern,McGovern,Democrat,-7976575.181,5207526.7885000035
4B,NORTHEAST (B),020,GREATER BOSTON,V22227,NORTH GRAFTON,POST_OFF,191 WORCESTER ST,NORTH GRAFTON,MA,01536,9998,MAIN_PO,P,OPEN,,"3/9/2018, 3:00 PM",2502,25,MA,02,James P. McGovern,McGovern,Democrat,-7983280.065199999,5195482.2075999975
4B,NORTHEAST (B),020,GREATER BOSTON,V22067,MILLBURY,POST_OFF,119 ELM ST,MILLBURY,MA,01527,9998,MAIN_PO,P,OPEN,,"3/9/2018, 3:00 PM",2502,25,MA,02,James P. McGovern,McGovern,Democrat,-7988488.8155,5189553.164300002
4B,NORTHEAST (B),020,GREATER BOSTON,V21573,QUINSIGAMOND VILLAGE,POST_OFF,347 GREENWOOD ST STE 1,WORCESTER,MA,01607,1775,FIN_S,S,OPEN,,"9/8/2017, 9:57 PM",2502,25,MA,02,James P. McGovern,McGovern,Democrat,-7992240.3937,5193105.787100002
4B,NORTHEAST (B),020,GREATER BOSTON,V22508,SOUTH GRAFTON,POST_OFF,17 FERRY ST,SOUTH GRAFTON,MA,01560,9998,MAIN_PO,P,OPEN,,"9/8/2017, 9:57 PM",2502,25,MA,02,James P. McGovern,McGovern,Democrat,-7980950.3709,5187487.060000002
4B,NORTHEAST (B),020,GREATER BOSTON,V22613,STERLING,POST_OFF,6 CLINTON RD,STERLING,MA,01564,9998,MAIN_PO,P,OPEN,,"9/8/2017, 9:57 PM",2502,25,MA,02,James P. McGovern,McGovern,Democrat,-7987706.5735,5226854.466600001
4B,NORTHEAST (B),020,GREATER BOSTON,V28227,SHREWSBURY ANNEX,POST_OFF,194 MAIN ST,SHREWSBURY,MA,01545,8194,CARR_ANNX,4,OPEN,,"9/8/2017, 9:57 PM",2502,25,MA,02,James P. McGovern,McGovern,Democrat,-7986917.6522,5204515.9014
4B,NORTHEAST (B),020,GREATER BOSTON,V22446,SHREWSBURY,POST_OFF,43 MAPLE AVE,SHREWSBURY,MA,01545,9998,MAIN_PO,P,OPEN,,"9/8/2017, 9:57 PM",2502,25,MA,02,James P. McGovern,McGovern,Democrat,-7983600.3314,5205068.038999997
4B,NORTHEAST (B),020,GREATER BOSTON,V22661,TURNPIKE,POST_OFF,166 BOSTON TPKE,SHREWSBURY,MA,01545,9991,FIN_S,S,OPEN,,"9/8/2017, 9:57 PM",2502,25,MA,02,James P. McGovern,McGovern,Democrat,-7986825.702299999,5202224.0242
4B,NORTHEAST (B),020,GREATER BOSTON,V22803,UPTON,POST_OFF,116 MAIN ST,UPTON,MA,01568,9998,MAIN_PO,P,OPEN,,"3/9/2018, 3:00 PM",2502,25,MA,02,James P. McGovern,McGovern,Democrat,-7972724.862400001,5186415.801200002
4B,NORTHEAST (B),020,GREATER BOSTON,V22754,WEST BOYLSTON,POST_OFF,67 W BOYLSTON ST UNIT 5,WEST BOYLSTON,MA,01583,9998,MAIN_PO,P,OPEN,,"9/8/2017, 9:57 PM",2502,25,MA,02,James P. McGovern,McGovern,Democrat,-7990817.6193,5214912.291599996
4B,NORTHEAST (B),020,GREATER BOSTON,V22863,WORCESTER,POST_OFF,4 E CENTRAL ST,WORCESTER,MA,01613,9998,MAIN_PO,P,OPEN,,"9/8/2017, 9:57 PM",2502,25,MA,02,James P. McGovern,McGovern,Democrat,-7992167.0341,5200923.503799997
4B,NORTHEAST (B),020,GREATER BOSTON,V22809,WESTBOROUGH,POST_OFF,150 E MAIN ST,WESTBOROUGH,MA,01581,9998,MAIN_PO,P,OPEN,,"9/8/2017, 9:57 PM",2502,25,MA,02,James P. McGovern,McGovern,Democrat,-7970569.9397,5203527.2809000015
